Columns,Correlation Ratio,Target Column
NOI per Unit,2.656050839412189e-07,Percent of Units Offering Concessions
QoQ Single-Family Permits Change,1.7908015649588127e-07,Percent of Units Offering Concessions
Total Employment,1.409753912645571e-07,Percent of Units Offering Concessions
Annual Single-Family Permits,1.3482623125308723e-07,Percent of Units Offering Concessions
YoY Employment Change (#),1.3423338647902313e-07,Percent of Units Offering Concessions
QoQ Multifamily Permits Change,1.1352681736966169e-07,Percent of Units Offering Concessions
Annual Total Permits,9.638689569925379e-08,Percent of Units Offering Concessions
Monthly Multifamily Permits,8.501538447746399e-08,Percent of Units Offering Concessions
Monthly Single-Family Permits,8.411371991795382e-08,Percent of Units Offering Concessions
YoY Multifamily Permits Change,7.97730774668823e-08,Percent of Units Offering Concessions
MoM Employment Change (%),7.548376973707988e-08,Percent of Units Offering Concessions
Quarterly Total Permits,7.087336591994364e-08,Percent of Units Offering Concessions
Quarterly Single-Family Permits,6.946576485279542e-08,Percent of Units Offering Concessions
MoM Multifamily Permits Change,6.822702685795128e-08,Percent of Units Offering Concessions
YoY Employment Change (%),6.524271619419486e-08,Percent of Units Offering Concessions
MoM Total Permits Change,6.517865172871054e-08,Percent of Units Offering Concessions
MoM Employment Change (#),6.23825873200021e-08,Percent of Units Offering Concessions
MoM Single-Family Permits Change,6.006413738171808e-08,Percent of Units Offering Concessions
Quarterly Multifamily Permits,5.884095298840078e-08,Percent of Units Offering Concessions
QoQ Employment Change (%),5.719531521697483e-08,Percent of Units Offering Concessions
YoY Total Permits Change,5.5733385016136177e-08,Percent of Units Offering Concessions
QoQ Total Permits Change,5.093120660609135e-08,Percent of Units Offering Concessions
YoY Single-Family Permits Change,4.9385037376888425e-08,Percent of Units Offering Concessions
Annual Multifamily Permits,3.793496843829561e-08,Percent of Units Offering Concessions
QoQ Employment Change (#),2.979551976329244e-08,Percent of Units Offering Concessions
Monthly Total Permits,2.9745586174994185e-08,Percent of Units Offering Concessions
Annual Supply,0,Percent of Units Offering Concessions
Quarterly Supply,0,Percent of Units Offering Concessions
Other Expenses %,0,Percent of Units Offering Concessions
Quarterly Net Inventory Ratio,0,Percent of Units Offering Concessions
Quarterly Net Inventory,0,Percent of Units Offering Concessions
Quarterly Removals,0,Percent of Units Offering Concessions
Annual Net Inventory Ratio,0,Percent of Units Offering Concessions
Annual Removals,0,Percent of Units Offering Concessions
Annual Net Supply,0,Percent of Units Offering Concessions
Property Starts,0,Percent of Units Offering Concessions
Annual Property Starts,0,Percent of Units Offering Concessions
Unit Starts,0,Percent of Units Offering Concessions
Annual Unit Starts,0,Percent of Units Offering Concessions
Units Under Construction,0,Percent of Units Offering Concessions
Annual Demand,0,Percent of Units Offering Concessions
Quarterly Demand,0,Percent of Units Offering Concessions
Median Rent-to-Income Ratio,0,Percent of Units Offering Concessions
Other Expenses per Unit,0,Percent of Units Offering Concessions
Average Monthly Income,0,Percent of Units Offering Concessions
